web-scraper-order,web-scraper-start-url,img-src,name,Socket,form factor,memory max,memory slots,color,price,link,link-href,rating
"1672961676-206","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/eef1bae4401bde37b0b7b0b6eee74ad3.256p.jpg","ASRock X99 Taichi","Socket / CPULGA2011-3","Form FactorATX","128","8","ColorBlack / White","315.41","ASRock X99 Taichi         (5)","https://es.pcpartpicker.com/product/FGPzK8/asrock-x99-taichi-atx-lga2011-3-motherboard-x99-taichi","(5 Ratings, 4.6 Average)"
"1672961678-207","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/8b092c216f7b1772a030e2fbd8de02a8.256p.jpg","Asus WS C246 PRO","Socket / CPULGA1151","Form FactorATX","64","4","ColorBlack / Silver","315.38","Asus WS C246 PRO         (2)","https://es.pcpartpicker.com/product/7KQG3C/asus-ws-c246-pro-atx-lga1151-motherboard-ws-c246-pro","(2 Ratings, 5.0 Average)"
"1672961680-208","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","https://images-na.ssl-images-amazon.com/images/I/61KaskM3IvL.jpg","MSI H170I Pro AC","Socket / CPULGA1151","Form FactorMini ITX","32","2","ColorBlack / White","315.00","MSI H170I Pro AC         (4)","https://es.pcpartpicker.com/product/gQ648d/msi-motherboard-h170iproac","(4 Ratings, 4.5 Average)"
"1672961683-209","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/5242ce48db07728c3e99ee5d821d4e3e.256p.jpg","MSI MPG Z590 GAMING FORCE","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack","314.89","MSI MPG Z590 GAMING FORCE         (3)","https://es.pcpartpicker.com/product/cNQcCJ/msi-mpg-z590-gaming-force-atx-lga1200-motherboard-mpg-z590-gaming-force","(3 Ratings, 4.3 Average)"
"1672961685-210","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/a4708cb253c33dacabd68b704a383137.256p.jpg","MSI MAG B760 TOMAHAWK WIFI","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack","312.76","MSI MAG B760 TOMAHAWK WIFI         (0)","https://es.pcpartpicker.com/product/CxLFf7/msi-mag-b760-tomahawk-wifi-atx-lga1700-motherboard-mag-b760-tomahawk-wifi","null"
"1672961687-211","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/9c5a0c61580c28599ca814c7dc845700.256p.jpg","Asus WS C246M PRO","Socket / CPULGA1151","Form FactorMicro ATX","128","4","ColorBlack","311.79","Asus WS C246M PRO         (0)","https://es.pcpartpicker.com/product/Vj97YJ/asus-ws-c246m-pro-micro-atx-lga1151-motherboard-ws-c246m-pro","null"
"1672961689-212","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/b3cfd88d277accd9d8deb08293e4762b.256p.jpg","ASRock Z790 PG SONIC","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack / Blue","311.26","ASRock Z790 PG SONIC         (0)","https://es.pcpartpicker.com/product/y4KKHx/asrock-z790-pg-sonic-atx-lga1700-motherboard-z790-pg-sonic","null"
"1672961692-213","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/dc9235e0d8052745493eb900bb9df6f6.256p.jpg","MSI MAG B650 TOMAHAWK WIFI","Socket / CPUAM5","Form FactorATX","128","4","ColorBlack","310.90","MSI MAG B650 TOMAHAWK WIFI         (1)","https://es.pcpartpicker.com/product/LwNxFT/msi-mag-b650-tomahawk-wifi-atx-am5-motherboard-mag-b650-tomahawk-wifi","(1 Rating, 4.0 Average)"
"1672961694-214","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/cf20560e7e4a9e474fcb4c88238e4ffd.256p.jpg","MSI MAG B550 TOMAHAWK MAX WIFI","Socket / CPUAM4","Form FactorATX","128","4","ColorSilver / Black","309.98","MSI MAG B550 TOMAHAWK MAX WIFI         (5)","https://es.pcpartpicker.com/product/MfZ9TW/msi-mag-b550-tomahawk-max-wifi-atx-am4-motherboard-mag-b550-tomahawk-max-wifi","(5 Ratings, 4.8 Average)"
"1672961696-215","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/e854498501c5c3c58704a147af682506.256p.jpg","Asus TUF GAMING Z790-PLUS D4","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack","309.89","Asus TUF GAMING Z790-PLUS D4         (0)","https://es.pcpartpicker.com/product/2ZgFf7/asus-tuf-gaming-z790-plus-d4-atx-lga1700-motherboard-tuf-gaming-z790-plus-d4","null"
"1672961699-216","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/c7bf181c3c8bfed7474232be75a1325b.256p.jpg","Gigabyte X570S AERO G","Socket / CPUAM4","Form FactorATX","128","4","ColorBlack / White","309.00","Gigabyte X570S AERO G         (4)","https://es.pcpartpicker.com/product/f7pzK8/gigabyte-x570s-aero-g-atx-am4-motherboard-x570s-aero-g","(4 Ratings, 4.5 Average)"
"1672961701-217","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/3f9d9810e5da7dccec1e35cc3f83bdfb.256p.jpg","Gigabyte Z490 AORUS ELITE","Socket / CPULGA1200","Form FactorATX","128","4","ColorBlack / Silver","307.66","Gigabyte Z490 AORUS ELITE         (2)","https://es.pcpartpicker.com/product/wgNgXL/gigabyte-z490-aorus-elite-atx-lga1200-motherboard-z490-aorus-elite","(2 Ratings, 4.5 Average)"
"1672961703-218","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","https://m.media-amazon.com/images/I/51H4YGEdH+L.jpg","MSI X299 RAIDER","Socket / CPULGA2066","Form FactorATX","128","8","ColorBlack / Silver","305.80","MSI X299 RAIDER         (3)","https://es.pcpartpicker.com/product/Bp648d/msi-x299-raider-atx-lga2066-motherboard-x299-raider","(3 Ratings, 4.7 Average)"
"1672961705-219","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/757ee49166bda45257bac5e38e4d7958.256p.jpg","NZXT N7 Z590","Socket / CPULGA1200","Form FactorATX","128","4","ColorWhite","305.60","NZXT N7 Z590         (1)","https://es.pcpartpicker.com/product/s8H7YJ/nzxt-n7-z590-atx-lga1200-motherboard-n7-z59xt-w1","(1 Rating, 5.0 Average)"
"1672961708-220","https://es.pcpartpicker.com/products/motherboard/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/518f8862f787587a0b2e7522f77918a7.256p.jpg","Gigabyte Z790 GAMING X AX","Socket / CPULGA1700","Form FactorATX","128","4","ColorBlack","304.89","Gigabyte Z790 GAMING X AX         (0)","https://es.pcpartpicker.com/product/mYnypg/gigabyte-z790-gaming-x-ax-atx-lga1700-motherboard-z790-gaming-x-ax","null"
