web-scraper-order,web-scraper-start-url,img-src,name,speed,modules,price/GB,color,First Word Latency,CAS latency,price,link,link-href,rating
"1672969803-3545","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/632895257f1e06742f6c60d8a9b10373.256p.jpg","Corsair Vengeance RGB 64 GB","SpeedDDR5-5200","Modules2 x 32GB","Price / GB€6.323","ColorGray","First Word Latency15.385 ns","CAS Latency40","404.70","Corsair Vengeance RGB 64 GB         (0)","https://es.pcpartpicker.com/product/sgkWGX/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-5200-cl40-memory-cmh64gx5m2b5200z40","null"
"1672969805-3546","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/f247984cf9438219f39c4ca90345f9ff.256p.jpg","Corsair Vengeance LPX 64 GB","SpeedDDR4-4000","Modules4 x 16GB","Price / GB€6.328","ColorBlack","First Word Latency9 ns","CAS Latency18","404.99","Corsair Vengeance LPX 64 GB         (0)","https://es.pcpartpicker.com/product/CFmmP6/corsair-vengeance-lpx-64-gb-4-x-16-gb-ddr4-4000-cl18-memory-cmk64gx4m4g4000c18","null"
"1672969807-3547","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/7f3060110ca3dd3b0908cea1c47f3455.256p.jpg","Corsair Vengeance LPX 32 GB","SpeedDDR4-3000","Modules4 x 8GB","Price / GB€12.698","ColorBlack / Yellow","First Word Latency10 ns","CAS Latency15","406.34","Corsair Vengeance LPX 32 GB         (0)","https://es.pcpartpicker.com/product/cFWfrH/corsair-vengeance-lpx-32-gb-4-x-8-gb-ddr4-3000-memory-cmk32gx4m4c3000c15","null"
"1672969809-3548","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/b04df404604294653f0a667d6a2a4e2e.256p.jpg","G.Skill Ripjaws V 32 GB","SpeedDDR4-3200","Modules4 x 8GB","Price / GB€12.719","ColorBlack","First Word Latency9.375 ns","CAS Latency15","407.00","G.Skill Ripjaws V 32 GB         (0)","https://es.pcpartpicker.com/product/zNcMnQ/gskill-memory-f43200c15q32gvk","null"
"1672969812-3549","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/4ba8064ef8f2eb07464d4c5a7362a113.256p.jpg","G.Skill Trident Z Royal Elite 32 GB","SpeedDDR4-4266","Modules2 x 16GB","Price / GB€12.747","ColorGold","First Word Latency7.501 ns","CAS Latency16","407.90","G.Skill Trident Z Royal Elite 32 GB         (0)","https://es.pcpartpicker.com/product/PXnypg/gskill-trident-z-royal-elite-32-gb-2-x-16-gb-ddr4-4266-cl16-memory-f4-4266c16d-32gteg","null"
"1672969814-3550","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/e8f0b56c5e17f6c71fb8582cb427229a.256p.jpg","G.Skill Ripjaws S5 64 GB","SpeedDDR5-5600","Modules2 x 32GB","Price / GB€6.373","ColorBlack","First Word Latency10 ns","CAS Latency28","407.90","G.Skill Ripjaws S5 64 GB         (0)","https://es.pcpartpicker.com/product/FhcG3C/gskill-ripjaws-s5-64-gb-2-x-32-gb-ddr5-5600-cl28-memory-f5-5600j2834f32gx2-rs5k","null"
"1672969816-3551","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/242c0e97c1ecf998faedf4871b4839bb.256p.jpg","G.Skill Trident Z 64 GB","SpeedDDR4-3200","Modules4 x 16GB","Price / GB€6.389","ColorRed / Silver","First Word Latency8.75 ns","CAS Latency14","408.90","G.Skill Trident Z 64 GB         (1)","https://es.pcpartpicker.com/product/TBjWGX/gskill-memory-f43200c14q64gtz","(1 Rating, 5.0 Average)"
"1672969819-3552","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","https://m.media-amazon.com/images/I/41S5WOMX6eL.jpg","G.Skill Trident Z Royal 32 GB","SpeedDDR4-4000","Modules2 x 16GB","Price / GB€12.782","ColorSilver","First Word Latency8 ns","CAS Latency16","409.02","G.Skill Trident Z Royal 32 GB         (0)","https://es.pcpartpicker.com/product/cnt9TW/gskill-trident-z-royal-32-gb-2-x-16-gb-ddr4-4000-cl16-memory-f4-4000c16d-32gtrsa","null"
"1672969821-3553","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/4ba8064ef8f2eb07464d4c5a7362a113.256p.jpg","G.Skill Trident Z Royal Elite 64 GB","SpeedDDR4-4266","Modules2 x 32GB","Price / GB€6.405","ColorGold","First Word Latency8.908 ns","CAS Latency19","409.90","G.Skill Trident Z Royal Elite 64 GB         (0)","https://es.pcpartpicker.com/product/CkjBD3/gskill-trident-z-royal-elite-64-gb-2-x-32-gb-ddr4-4266-cl19-memory-f4-4266c19d-64gteg","null"
"1672969823-3554","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/a44770372e0cfd4867671bae0b9831e2.256p.jpg","Corsair Dominator Platinum RGB 32 GB","SpeedDDR5-7000","Modules2 x 16GB","Price / GB€12.812","ColorBlack","First Word Latency9.714 ns","CAS Latency34","409.99","Corsair Dominator Platinum RGB 32 GB         (0)","https://es.pcpartpicker.com/product/G8LFf7/corsair-dominator-platinum-rgb-32-gb-2-x-16-gb-ddr5-7000-cl34-memory-cmt32gx5m2x7000c34","null"
"1672969826-3555","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/80c927d330c46e9897995116f1d837d8.256p.jpg","G.Skill Trident Z Royal 32 GB","SpeedDDR4-3600","Modules4 x 8GB","Price / GB€12.844","ColorGold","First Word Latency8.889 ns","CAS Latency16","411.00","G.Skill Trident Z Royal 32 GB         (1)","https://es.pcpartpicker.com/product/HBqBD3/gskill-trident-z-royal-32-gb-4-x-8-gb-ddr4-3600-memory-f4-3600c16q-32gtrgc","(1 Rating, 5.0 Average)"
"1672969828-3556","https://es.pcpartpicker.com/products/memory/#sort=-price&page=3","//cdna.pcpartpicker.com/static/forever/images/product/d983239d3616a8961676e65f0e06c987.256p.jpg","TEAMGROUP T-Force Xtreem ARGB 32 GB","SpeedDDR4-3600","Modules2 x 16GB","Price / GB€12.845","ColorBlack","First Word Latency7.778 ns","CAS Latency14","411.05","TEAMGROUP T-Force Xtreem ARGB 32 GB         (1)","https://es.pcpartpicker.com/product/4RZzK8/team-t-force-xtreem-argb-32-gb-2-x-16-gb-ddr4-3600-cl14-memory-tf10d432g3600hc14cdc01","(1 Rating, 5.0 Average)"
