web-scraper-order,web-scraper-start-url,img-src,name,capacity,price/GB,type,cache,form factor,interface,price,link,link-href,rating
"1673018033-1280","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/8c5042086b6c6ab10aca89e29fa85f08.256p.jpg","Crucial P3","Capacity1 TB","Price / GB€0.080","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","79.78","Crucial P3         (5)","https://es.pcpartpicker.com/product/sw4Ycf/crucial-p3-1-tb-m2-2280-nvme-solid-state-drive-ct1000p3ssd8","(5 Ratings, 5.0 Average)"
"1673018035-1281","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=5","https://m.media-amazon.com/images/I/41iSA7fSfHL.jpg","Toshiba P300","Capacity2 TB","Price / GB€0.040","Type7200 RPM","Cache64 MB","Form Factor3.5""","InterfaceSATA 6.0 Gb/s","79.52","Toshiba P300         (0)","https://es.pcpartpicker.com/product/xTNv6h/toshiba-p300-2tb-35-7200rpm-internal-hard-drive-hdwd120ezsta","null"
"1673018037-1282","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=5","https://images-na.ssl-images-amazon.com/images/I/41gK3XNtMaL.jpg","Hitachi Travelstar Z5K320","Capacity320 GB","Price / GB€0.248","Type5400 RPM","Cache8 MB","Form Factor2.5""","InterfaceSATA 3.0 Gb/s","79.43","Hitachi Travelstar Z5K320         (0)","https://es.pcpartpicker.com/product/LKtCmG/hitachi-internal-hard-drive-hts543232a7a384","null"
"1673018039-1283","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=5","https://m.media-amazon.com/images/I/411ilFJdnmL.jpg","Hitachi 0F10381","Capacity500 GB","Price / GB€0.158","Type7200 RPM","Cache16 MB","Form Factor3.5""","InterfaceSATA 3.0 Gb/s","79.22","Hitachi 0F10381         (8)","https://es.pcpartpicker.com/product/qTh9TW/hitachi-internal-hard-drive-0f10381","(8 Ratings, 4.0 Average)"
"1673018042-1284","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/1189d0dfe0c7fdaf7552d9decc14325f.256p.jpg","Seagate IronWolf 125","Capacity250 GB","Price / GB€0.317","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","79.20","Seagate IronWolf 125         (0)","https://es.pcpartpicker.com/product/cztKHx/seagate-ironwolf-125-250-gb-25-solid-state-drive-za250nm1a002","null"
"1673018044-1285","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=5","https://images-na.ssl-images-amazon.com/images/I/41duJjltAfL.jpg","Seagate Constellation.2","Capacity500 GB","Price / GB€0.158","Type7200 RPM","Cache64 MB","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","78.98","Seagate Constellation.2         (0)","https://es.pcpartpicker.com/product/DTkD4D/seagate-internal-hard-drive-st9500620ns","null"
"1673018046-1286","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/229130faab065e7908c58fd694f78e1a.256p.jpg","Silicon Power A60","Capacity1 TB","Price / GB€0.079","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","78.98","Silicon Power A60         (35)","https://es.pcpartpicker.com/product/7tCFf7/silicon-power-a60-1-tb-m2-2280-nvme-solid-state-drive-sp001tbp34a60m28","(35 Ratings, 4.9 Average)"
"1673018049-1287","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/372a8a741c0c8be80dd6337585fbba21.256p.jpg","Western Digital Purple","Capacity2 TB","Price / GB€0.039","Type5400 RPM","Cache64 MB","Form Factor3.5""","InterfaceSATA 6.0 Gb/s","78.88","Western Digital Purple         (2)","https://es.pcpartpicker.com/product/39Nv6h/western-digital-purple-2tb-35-5400rpm-internal-hard-drive-wd20purz","(2 Ratings, 5.0 Average)"
"1673018051-1288","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/c5ed54671d75778537dad355e1fff529.256p.jpg","ADATA Ultimate SU650","Capacity960 GB","Price / GB€0.082","TypeSSD","Cache","Form Factor2.5""","InterfaceSATA 6.0 Gb/s","78.80","ADATA Ultimate SU650         (0)","https://es.pcpartpicker.com/product/qJ448d/adata-ultimate-su650-960-gb-25-solid-state-drive-asu650ss-960gt-r","null"
"1673018053-1289","https://es.pcpartpicker.com/products/internal-hard-drive/#sort=price&page=5","//cdna.pcpartpicker.com/static/forever/images/product/8618752d44f122e9b16d057538903ec4.256p.jpg","Lexar NM620","Capacity1 TB","Price / GB€0.079","TypeSSD","Cache","Form FactorM.2-2280","InterfaceM.2 PCIe 3.0 X4","78.80","Lexar NM620         (0)","https://es.pcpartpicker.com/product/VHM48d/lexar-nm620-1-tb-m2-2280-nvme-solid-state-drive-lnm620x001t-rnnng","null"
