img_src,name,type,efficiency,wattage_W,modular,color,price,link,rating_number,rating
//cdna.pcpartpicker.com/static/forever/images/product/69d82e84ffacd47701de53b292f980dc.256p.jpg,Silverstone Strider Platinum S,ATX,80+ Platinum,1200,Full,Black,285.95,https://es.pcpartpicker.com/product/L4rmP6/silverstone-strider-platinum-s-1200-w-80-platinum-certified-fully-modular-atx-power-supply-sst-st1200-pts,1,5
//cdna.pcpartpicker.com/static/forever/images/product/5462c083781345bd7c5abeb837a488a8.256p.jpg,SeaSonic PRIME TX-850,ATX,80+ Titanium,850,Full,Black,288.32,https://es.pcpartpicker.com/product/4X2bt6/seasonic-prime-tx-850-w-80-titanium-certified-fully-modular-atx-power-supply-prime-tx-850,3,5
//cdna.pcpartpicker.com/static/forever/images/product/5ac9eba4fe8d8a6f38b27eb91198158b.256p.jpg,SeaSonic PRIME 600 Titanium,ATX,80+ Titanium,600,Full,Black,289.12,https://es.pcpartpicker.com/product/rbvbt6/seasonic-prime-titanium-600w-80-titanium-certified-fully-modular-fanless-atx-power-supply-ssr-600tl,4,5
https://m.media-amazon.com/images/I/41-p9gtd72L.jpg,Cooler Master V650 V2,ATX,80+ Gold,650,Full,White,296.99,https://es.pcpartpicker.com/product/WCNgXL/cooler-master-v-gold-v2-650-w-80-gold-certified-fully-modular-atx-power-supply-mpy-650v-agbag-us,5,4.6
https://images-na.ssl-images-amazon.com/images/I/41m%2BwApletL.jpg,Thermaltake Smart RGB,ATX,80+,700,No,,300.27,https://es.pcpartpicker.com/product/RwVD4D/thermaltake-smart-rgb-700w-80-certified-atx-power-supply-ps-spr-0700nhfawu-1,7,4.4
//cdna.pcpartpicker.com/static/forever/images/product/3f102f6accc41e69cdba76a63259abae.256p.jpg,SeaSonic FOCUS Plus Platinum,ATX,80+ Platinum,750,Full,,313,https://es.pcpartpicker.com/product/dCs8TW/seasonic-focus-plus-platinum-750w-80-platinum-certified-fully-modular-atx-power-supply-ssr-750px,31,5
//cdna.pcpartpicker.com/static/forever/images/product/4961712f438dc5f365e2597da42b13b1.256p.jpg,be quiet! Dark Power Pro 11,ATX,80+ Platinum,850,Semi,,314.82,https://es.pcpartpicker.com/product/7TBrxr/be-quiet-power-supply-bn253,7,5
//cdna.pcpartpicker.com/static/forever/images/product/0642070855c910ca32db3ee9c61f6285.256p.jpg,SeaSonic PRIME Fanless,ATX,80+ Titanium,700,Full,Black,317.58,https://es.pcpartpicker.com/product/JxkgXL/seasonic-prime-fanless-700-w-80-titanium-certified-fully-modular-fanless-atx-power-supply-prime-fanless-tx-700,1,5
//cdna.pcpartpicker.com/static/forever/images/product/ae66899de26828af3df3192aef48db02.256p.jpg,Corsair HX1500i (2022),ATX,80+ Platinum,1500,Full,Black,319.89,https://es.pcpartpicker.com/product/hrFbt6/corsair-hx1500i-2022-1500-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020215-na,2,5
https://m.media-amazon.com/images/I/41A8WI9MptL.jpg,Phanteks Revolt X,ATX,80+ Platinum,1200,Full,Black / Silver,321.71,https://es.pcpartpicker.com/product/Qgx2FT/phanteks-revolt-x-1200w-80-platinum-certified-fully-modular-atx-power-supply-ph-p1200ps,2,4.5
//cdna.pcpartpicker.com/static/forever/images/product/105950eeb9368cbce15269a3ab9d849b.256p.jpg,SeaSonic PRIME Ultra Gold 550,ATX,80+ Gold,550,Full,Black,324.06,https://es.pcpartpicker.com/product/9nmxFT/seasonic-prime-ultra-gold-550w-80-gold-certified-fully-modular-atx-power-supply-ssr-550gd2,2,5
https://m.media-amazon.com/images/I/51n-7HNjWrL.jpg,SeaSonic PRIME Ultra Titanium,ATX,80+ Titanium,650,Full,,324.39,https://es.pcpartpicker.com/product/fnjJ7P/seasonic-prime-ultra-titanium-650w-80-titanium-certified-fully-modular-atx-power-supply-ssr-650tr,7,5
https://m.media-amazon.com/images/I/51KqzDYe4JL.jpg,PC Power & Cooling Silencer,ATX,80+ Platinum,1050,Full,,330,https://es.pcpartpicker.com/product/Bz7v6h/pc-power-cooling-silencer-1050w-80-platinum-certified-fully-modular-atx-power-supply-fps1050-a5m00,1,5
//cdna.pcpartpicker.com/static/forever/images/product/6a8a616ad8c5c8328c602091299aa18f.256p.jpg,SeaSonic FOCUS Plus Gold,ATX,80+ Gold,1000,Full,Black,336,https://es.pcpartpicker.com/product/yTMwrH/seasonic-focus-plus-gold-1000-w-80-gold-certified-fully-modular-atx-power-supply-ssr-1000fx,10,4.8
//cdna.pcpartpicker.com/static/forever/images/product/84953168c3aebea55de5277456208733.256p.jpg,Corsair RM750x,ATX,80+ Gold,750,Full,,337.74,https://es.pcpartpicker.com/product/9q38TW/corsair-power-supply-cp9020092na,73,4.8
//cdna.pcpartpicker.com/static/forever/images/product/572836a3f2fc8ee586ff3ad85d979e7e.256p.jpg,SeaSonic PRIME PX-1300,ATX,80+ Platinum,1300,Full,Black,339.65,https://es.pcpartpicker.com/product/s2ZFf7/seasonic-prime-px-1300-w-80-platinum-certified-fully-modular-atx-power-supply-ssr-1300pd,3,5
//cdna.pcpartpicker.com/static/forever/images/product/a30a8c7b85ec517a19b9f3681531ac2d.256p.jpg,Phanteks Revolt X,ATX,80+ Platinum,1000,Full,Black / Silver,343.85,https://es.pcpartpicker.com/product/KMx2FT/phanteks-revolt-x-1000w-80-platinum-certified-fully-modular-atx-power-supply-ph-p1000ps,2,5
//cdna.pcpartpicker.com/static/forever/images/product/0507a17b19d2080a2a8ce1119a204254.256p.jpg,SeaSonic PRIME 1300 Gold,ATX,80+ Gold,1300,Full,Black,347.93,https://es.pcpartpicker.com/product/TYWfrH/seasonic-prime-gold-1300w-80-gold-certified-fully-modular-atx-power-supply-ssr-1300gd,1,4
//cdna.pcpartpicker.com/static/forever/images/product/5b4d3a0c8ba785ed560565371fb5b0a6.256p.jpg,Asus ROG THOR 1200P,ATX,80+ Platinum,1200,Full,Black,349,https://es.pcpartpicker.com/product/DnBTwP/asus-rog-thor-1200p-1200-w-80-platinum-certified-fully-modular-atx-power-supply-rog-thor-1200p,14,5
//cdna.pcpartpicker.com/static/forever/images/product/2f8794c5ac50f5b68812752fb408e31c.256p.jpg,Asus ROG THOR 850P,ATX,80+ Platinum,850,Full,Black / Red,349.84,https://es.pcpartpicker.com/product/6s448d/asus-rog-thor-850p-850-w-80-platinum-certified-fully-modular-atx-power-supply-rog-thor-850p,16,4.2
//cdna.pcpartpicker.com/static/forever/images/product/406a3c9c2063f1cd7196cbcd4c54ef94.256p.jpg,Corsair CX600,ATX,80+ Bronze,600,No,,363.14,https://es.pcpartpicker.com/product/Cfw323/corsair-cx600-600-w-80-bronze-certified-atx-power-supply-cx600,127,4.3
//cdna.pcpartpicker.com/static/forever/images/product/e72c3fcfc63c5773b97d76236ab5441e.256p.jpg,be quiet! Dark Power 12,ATX,80+ Titanium,1000,Full,Black,364.9,https://es.pcpartpicker.com/product/hb8bt6/be-quiet-dark-power-12-1000-w-80-titanium-certified-fully-modular-atx-power-supply-bn316,3,5
