img_src,name,speed_type,speed_frecuency,modules,price/GB,color,first_word_latency_ns,CAS_latency,price,link,rating_number,rating
//cdna.pcpartpicker.com/static/forever/images/product/0c5fcc123c2057de8a39584676b0e780.256p.jpg,G.Skill Aegis 8 GB,DDR4,3200,1 x 8GB,4.224,Red / Black,10,16,33.79,https://es.pcpartpicker.com/product/yz6qqs/gskill-aegis-8-gb-1-x-8-gb-ddr4-3200-memory-f4-3200c16s-8gis,2,4
//cdna.pcpartpicker.com/static/forever/images/product/e24b3e381f66bbae63e55531027af5c2.256p.jpg,TEAMGROUP Elite 8 GB,DDR3,1600,1 x 8GB,4.245,Black,13.75,11,33.96,https://es.pcpartpicker.com/product/Z238TW/team-memory-ted38g1600c1101,2,5
//cdna.pcpartpicker.com/static/forever/images/product/2353b4d9f1509adc53cf6c5bc4fc92b4.256p.jpg,Patriot Signature Line 4 GB,DDR4,2400,1 x 4GB,8.547,Green / Black,14.167,17,34.19,https://es.pcpartpicker.com/product/WHsmP6/patriot-signature-line-4gb-1-x-4gb-ddr4-2400-memory-psd44g240041,1,5
//cdna.pcpartpicker.com/static/forever/images/product/c27f9b0b8c936edb0f317a84e4778e29.256p.jpg,G.Skill NS 4 GB,DDR3,1333,2 x 2GB,8.547,Green,13.503,9,34.19,https://es.pcpartpicker.com/product/Lw2kcf/gskill-memory-f310600cl9d4gbns,2,4.5
https://m.media-amazon.com/images/I/41-o9uqvEFL.jpg,Corsair Vengeance LPX 8 GB,DDR4,2666,1 x 8GB,4.374,Red,12.003,16,34.99,https://es.pcpartpicker.com/product/sBZ2FT/corsair-memory-cmk8gx4m1a2666c16r,5,5
//cdna.pcpartpicker.com/static/forever/images/product/c7f63e6c230acf08b56f1829a9b80cc1.256p.jpg,Corsair Vengeance LPX 8 GB,DDR4,2400,1 x 8GB,4.374,Red,13.333,16,34.99,https://es.pcpartpicker.com/product/y8rcCJ/corsair-memory-cmk8gx4m1a2400c16r,7,4.7
//cdna.pcpartpicker.com/static/forever/images/product/c9ede827dd30b37cf5db46fc6332423a.256p.jpg,Corsair Vengeance LPX 8 GB,DDR4,3200,1 x 8GB,4.374,Black,10,16,34.99,https://es.pcpartpicker.com/product/VZpmP6/corsair-vengeance-lpx-8-gb-1-x-8-gb-ddr4-3200-cl16-memory-cmk8gx4m1z3200c16,1,4
,Patriot PSD34G1333K 4 GB,DDR3,1333,2 x 2GB,8.768,Green,13.503,9,35.07,https://es.pcpartpicker.com/product/YRPfrH/patriot-memory-psd34g1333k,1,5
//cdna.pcpartpicker.com/static/forever/images/product/b0788eda51f4b630f926bbaff0e059c7.256p.jpg,G.Skill Aegis 8 GB,DDR4,2400,1 x 8GB,4.39,Black / Red,12.5,15,35.12,https://es.pcpartpicker.com/product/88rcCJ/gskill-memory-f42400c15s8gis,4,5
https://images-fe.ssl-images-amazon.com/images/I/51OtK0L0wLL.jpg,Crucial CT8G3S160BM 8 GB,DDR3,1600,1 x 8GB,4.411,Black / Green,13.75,11,35.29,https://es.pcpartpicker.com/product/rMBv6h/crucial-memory-ct8g3s160bm,1,4
//cdna.pcpartpicker.com/static/forever/images/product/10ba375c901c2841bf60c684c4949deb.256p.jpg,Patriot Signature Line 8 GB,DDR4,2400,1 x 8GB,4.438,Green / Black,14.167,17,35.5,https://es.pcpartpicker.com/product/7RF48d/patriot-signature-line-8gb-1-x-8gb-ddr4-2400-memory-psd48g240081,1,2
https://m.media-amazon.com/images/I/41BPoWyns1L.jpg,Patriot PSD48G2133K 8 GB,DDR4,2133,2 x 4GB,4.48,Black / Green,14.065,15,35.84,https://es.pcpartpicker.com/product/7b8H99/patriot-memory-psd48g2133k,3,5
//cdna.pcpartpicker.com/static/forever/images/product/d22dde602e02dd941dd30e9baa7a8a00.256p.jpg,G.Skill NT 8 GB,DDR4,2400,2 x 4GB,4.569,Black,12.5,15,36.55,https://es.pcpartpicker.com/product/2gJkcf/gskill-memory-f42400c15d8gnt,2,4.5
//cdna.pcpartpicker.com/static/forever/images/product/724dc0f64ada2b3e6cdb061fdb49043e.256p.jpg,Kingston KVR16N11/8 8 GB,DDR3,1600,1 x 8GB,4.599,Green,13.75,11,36.79,https://es.pcpartpicker.com/product/m2PfrH/kingston-memory-kvr16n118,7,4.3
//cdna.pcpartpicker.com/static/forever/images/product/a6e59e45a1d663e7daa43f2eb72c9b2b.256p.jpg,Crucial CT8G4DFS8266 8 GB,DDR4,2666,1 x 8GB,4.61,Green / Black,14.254,19,36.88,https://es.pcpartpicker.com/product/NXtQzy/crucial-8-gb-1-x-8-gb-ddr4-2666-memory-ct8g4dfs8266,2,3.5
https://m.media-amazon.com/images/I/41qqKfmwKcL.jpg,Patriot Viper 3 8 GB,DDR3,1600,2 x 4GB,4.624,Black / Silver,11.25,9,36.99,https://es.pcpartpicker.com/product/nBCwrH/patriot-memory-pv38g160c9k,31,4.6
https://images-na.ssl-images-amazon.com/images/I/215%2BleB5uEL.jpg,G.Skill F3-12800CL9D-4GBNQ 4 GB,DDR3,1600,2 x 2GB,9.422,Red / Silver,11.25,9,37.69,https://es.pcpartpicker.com/product/Gb9KHx/gskill-memory-f312800cl9d4gbnq,6,4.8
https://images-na.ssl-images-amazon.com/images/I/41NYA199yJL.jpg,G.Skill NT 8 GB,DDR4,2133,1 x 8GB,4.736,Black,14.065,15,37.89,https://es.pcpartpicker.com/product/XgJkcf/gskill-memory-f42133c15s8gnt,8,4.8
https://images-na.ssl-images-amazon.com/images/I/51OBDKleIsL.jpg,G.Skill Value 8 GB,DDR3,1333,2 x 4GB,4.774,Green,13.503,9,38.19,https://es.pcpartpicker.com/product/83phP6/gskill-memory-f310600cl9d8gbnt,6,4.7
https://m.media-amazon.com/images/I/41VS98wWBrL.jpg,G.Skill NS 8 GB,DDR3,1333,2 x 4GB,4.799,Black,13.503,9,38.39,https://es.pcpartpicker.com/product/cyYXsY/gskill-memory-f31333c9d8gns,2,4.5
//cdna.pcpartpicker.com/static/forever/images/product/d9a9944bed67b371a9ae556c32dd668e.256p.jpg,G.Skill Aegis 8 GB,DDR3,1600,2 x 4GB,4.811,,13.75,11,38.49,https://es.pcpartpicker.com/product/cz2kcf/gskill-memory-f31600c11d8gis,2,4.5
//cdna.pcpartpicker.com/static/forever/images/product/b91e35427d48d5e8791e1252283e04e7.256p.jpg,Crucial CT2K4G4DFS824A 8 GB,DDR4,2400,2 x 4GB,4.879,Green,14.167,17,39.03,https://es.pcpartpicker.com/product/yz8H99/crucial-8gb-2-x-4gb-ddr4-2400-memory-ct2k4g4dfs824a,5,4.4
https://m.media-amazon.com/images/I/31BSpYdC1eL.jpg,Mushkin Silverline 8 GB,DDR3,1600,1 x 8GB,4.899,Gray / Silver,13.75,11,39.19,https://es.pcpartpicker.com/product/Vxw323/mushkin-memory-992074,1,5
https://images-na.ssl-images-amazon.com/images/I/41m1LHu-EdL.jpg,G.Skill Ripjaws X 8 GB,DDR3,1333,1 x 8GB,4.899,Black / Red,13.503,9,39.19,https://es.pcpartpicker.com/product/3CxfrH/gskill-memory-f310666cl9s8gbxl,4,4.5
