img_src,name,core_count,core_clock_GHz,boost_clock_GHz,tdp_W,integrated_graphics,price,link,socket,rating_number, rating
//cdna.pcpartpicker.com/static/forever/images/product/eb8ef73f5460ac6ad82f634b2dcf793a.256p.jpg,Intel Core i9-11900K,8,3.5,5.3,125,Intel UHD Graphics 750,385.45,https://es.pcpartpicker.com/product/mDcG3C/intel-core-i9-11900k-35-ghz-8-core-processor-bx8070811900k,LGA1200,12,4.4
//cdna.pcpartpicker.com/static/forever/images/product/6d3fb7600f26fb1e94e8b0c1a99e0bfa.256p.jpg,AMD Ryzen 7 7700X,8,4.5,5.4,105,Radeon,388,https://es.pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,AM5,14,4.8
//cdna.pcpartpicker.com/static/forever/images/product/8f6d753be524daf5a9c04d9131cb6f27.256p.jpg,Intel Core i7-6900K,8,3.2,3.7,140,,397.18,https://es.pcpartpicker.com/product/NXyxFT/intel-cpu-bx80671i76900k,LGA2011-3,6,4.5
//cdna.pcpartpicker.com/static/forever/images/product/fee6d8b626235a58c1cc1577e6760118.256p.jpg,AMD Ryzen 7 2700,8,3.2,4.1,65,,400.01,https://es.pcpartpicker.com/product/WPQG3C/amd-ryzen-7-2700-32ghz-8-core-processor-yd2700bbafbox,AM4,74,4.9
https://images-na.ssl-images-amazon.com/images/I/51S9HDNJRpL.jpg,Intel Core i7-3820,4,3.6,,130,,407.13,https://es.pcpartpicker.com/product/6xzv6h/intel-cpu-bx80619i73820,LGA2011,23,4.8
//cdna.pcpartpicker.com/static/forever/images/product/f83c6c4ee8cb5a6801f35aae5fc5d018.256p.jpg,AMD Ryzen 7 5800X3D,8,3.4,4.5,105,,409.9,https://es.pcpartpicker.com/product/CZ3gXL/amd-ryzen-7-5800x3d-34-ghz-8-core-processor-100-100000651wof,AM4,25,5
//cdna.pcpartpicker.com/static/forever/images/product/23cd3adfd50037c1b44d6d53edb15248.256p.jpg,AMD Ryzen 7 3800X,8,3.9,4.5,105,,412.4,https://es.pcpartpicker.com/product/qryV3C/amd-ryzen-7-3800x-39-ghz-8-core-processor-100-100000025box,AM4,130,4.8
//cdna.pcpartpicker.com/static/forever/images/product/b2de198020c1bb1bda375064b94e60dc.256p.jpg,Intel Core i7-13700KF,16,3.4,5.4,125,,428.23,https://es.pcpartpicker.com/product/w86p99/intel-core-i7-13700kf-34-ghz-16-core-processor-bx8071513700kf,LGA1700,2,5
//cdna.pcpartpicker.com/static/forever/images/product/7a187be50026e221f31b55e76c3adf73.256p.jpg,Intel Core i7-9700KF,8,3.6,4.9,95,,430,https://es.pcpartpicker.com/product/LhCD4D/intel-core-i7-9700kf-36-ghz-8-core-processor-bx80684i79700kf,LGA1151,7,5
//cdna.pcpartpicker.com/static/forever/images/product/7fd1b17d82ba2d66a75dd8911b3a3d1b.256p.jpg,Intel Core i7-9700F,8,3,4.7,65,,430,https://es.pcpartpicker.com/product/W4848d/intel-core-i7-9700f-3-ghz-8-core-processor-bx80684i79700f,LGA1151,3,5
