img_src,name,capacity,price/GB,type,cache,form_factor,interface,price,link,rating_number,rating
,Hitachi 7K1000.C,1 TB,0.398,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,398,https://es.pcpartpicker.com/product/Qfzv6h/hitachi-internal-hard-drive-0f10383,11,4.2
,Hitachi 7K1000,1 TB,0.398,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,398,https://es.pcpartpicker.com/product/RZmLrH/hitachi-internal-hard-drive-hds721075kla330,3,4
https://images-na.ssl-images-amazon.com/images/I/51VwudoTpvL.jpg,Hitachi Deskstar 7K3000,3 TB,0.133,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,398,https://es.pcpartpicker.com/product/rsTmP6/hitachi-internal-hard-drive-hds723030ala640,1,4
https://images-na.ssl-images-amazon.com/images/I/519KnfFcAVL.jpg,Hitachi A7K1000-750,750 GB,0.531,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,398,https://es.pcpartpicker.com/product/CjMFf7/hitachi-internal-hard-drive-hua721075kla330,3,4.7
https://images-na.ssl-images-amazon.com/images/I/51GirQiskfL.jpg,Hitachi E7K1000,1 TB,0.398,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,398,https://es.pcpartpicker.com/product/Qt2kcf/hitachi-internal-hard-drive-hde721010sla330,11,4
https://images-na.ssl-images-amazon.com/images/I/41wX5qqu8QL.jpg,Seagate Barracuda Green,1.5 TB,0.265,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,398,https://es.pcpartpicker.com/product/HxBv6h/seagate-internal-hard-drive-st1500dl003,6,4
https://m.media-amazon.com/images/I/517ym7R2xnL.jpg,Hitachi Deskstar 7K1000.D,500 GB,0.796,7200 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,398,https://es.pcpartpicker.com/product/KG8Zxr/hitachi-internal-hard-drive-hds721050dle630,4,3.8
//cdna.pcpartpicker.com/static/forever/images/product/977ca659d80bda47e2df1db1921e5b39.256p.jpg,Western Digital Red Pro,14 TB,0.028,7200 RPM,,"3.5""",SATA 6.0 Gb/s,396.8,https://es.pcpartpicker.com/product/8x9tt6/western-digital-red-pro-14-tb-35-7200rpm-internal-hard-drive-wd141kfgx,1,5
https://m.media-amazon.com/images/I/41Q3HknLMoL.jpg,Intel 520,120 GB,3.275,SSD,,"2.5""",SATA 6.0 Gb/s,392.96,https://es.pcpartpicker.com/product/wHH323/intel-internal-hard-drive-ssdsc2cw120a310,11,4.8
//cdna.pcpartpicker.com/static/forever/images/product/2c576ecaedba7428ac231ac4f1e12a4d.256p.jpg,Samsung 870 Evo,4 TB,0.098,SSD,4096 MB,"2.5""",SATA 6.0 Gb/s,392.79,https://es.pcpartpicker.com/product/RBD7YJ/samsung-870-evo-4-tb-25-solid-state-drive-mz-77e4t0bam,3,4.7
