img_src,name,type,color,side_panel,price,link,rating_number,rating
//cdna.pcpartpicker.com/static/forever/images/product/52bb1b255db58b40e254f62cd79e8a12.256p.jpg,Cooler Master MasterBox Q500L,ATX Mid ,Black,Acrylic,71.81,https://es.pcpartpicker.com/product/jG7v6h/cooler-master-masterbox-q500l-atx-mid-tower-case-mcb-q500l-kann-s00,9,3.6
https://m.media-amazon.com/images/I/41IUopbW++L.jpg,Cooler Master MasterBox K500,ATX Mid ,Black,Tempered Glass,72.2,https://es.pcpartpicker.com/product/9CCD4D/cooler-master-masterbox-k500-atx-mid-tower-case-mcb-k500d-kgnn-s00,1,3
//cdna.pcpartpicker.com/static/forever/images/product/0c2387726caf5946b805c6c0ebb02113.256p.jpg,Antec VSK10,MicroATX Mid ,Black,,72.31,https://es.pcpartpicker.com/product/8GfFf7/antec-vsk10-microatx-mid-tower-case-vsk10,4,4
https://images-na.ssl-images-amazon.com/images/I/51kIRK0AxJL.jpg,Thermaltake Versa H22,ATX Mid ,Black,,72.33,https://es.pcpartpicker.com/product/Pm4gXL/thermaltake-case-ca1b300m1nn00,12,4.1
//cdna.pcpartpicker.com/static/forever/images/product/ea868988f848bdae4be8d8333b26acde.256p.jpg,GAMDIAS TALOS E1,MicroATX Mini ,Black,Tempered Glass,72.81,https://es.pcpartpicker.com/product/VPfFf7/gamdias-talos-e1-microatx-mini-tower-case-gd-talos-e1,3,4
//cdna.pcpartpicker.com/static/forever/images/product/bbbf5430d52c6411006307ff04b0fb79.256p.jpg,Cooler Master N300,ATX Mid ,Black,,72.86,https://es.pcpartpicker.com/product/mJ6BD3/cooler-master-case-nse300kkn1,3,4
//cdna.pcpartpicker.com/static/forever/images/product/5cade1480755e8d73c2f4407d09302a0.256p.jpg,Aerocool Aero One Eclipse,ATX Mid ,White / Black,Tempered Glass,72.9,https://es.pcpartpicker.com/product/YBWBD3/aerocool-aero-one-eclipse-atx-mid-tower-case-accm-pb1714321,1,4
https://m.media-amazon.com/images/I/41sTs5p0vXL.jpg,Zalman Z11 NEO,ATX Mid ,Black,Acrylic,73.31,https://es.pcpartpicker.com/product/dtJkcf/zalman-case-z11neo,6,4.2
//cdna.pcpartpicker.com/static/forever/images/product/629f2789011af7e733b1ae66154b1e54.256p.jpg,Thermaltake Versa H17,MicroATX Mini ,Black,,73.44,https://es.pcpartpicker.com/product/JtWfrH/thermaltake-versa-h17-microatx-mini-tower-case-ca-1j1-00s1nn-00,23,4
//cdna.pcpartpicker.com/static/forever/images/product/004673bbba26d1389e1c4f1fd57ab5cd.256p.jpg,Thermaltake Versa H25,ATX Mid ,Black,Acrylic,73.59,https://es.pcpartpicker.com/product/932rxr/thermaltake-case-ca1c200m1wn00,6,4.2
//cdna.pcpartpicker.com/static/forever/images/product/7f52f2f9b2f89aacf45972285ecef44e.256p.jpg,KOLINK OBSERVATORY LITE MESH RGB,ATX Mid ,Black,Tempered Glass,73.94,https://es.pcpartpicker.com/product/ztTzK8/kolink-observatory-lite-mesh-rgb-atx-mid-tower-case-observatory-lite-mesh,7,4.3
//cdna.pcpartpicker.com/static/forever/images/product/a59478dc86df9b98da0d99b0aaf72107.256p.jpg,Cooler Master MasterBox NR200,Mini ITX Desktop,White / Black,,74.4,https://es.pcpartpicker.com/product/r6bCmG/cooler-master-masterbox-nr200-mini-itx-desktop-case-mcb-nr200-wnnn-s00,30,4.9
//cdna.pcpartpicker.com/static/forever/images/product/ea750ef809b820ddd87e433ba201307c.256p.jpg,RAIJINTEK Metis Plus,Mini ITX ,Blue,Acrylic,74.77,https://es.pcpartpicker.com/product/zz98TW/raijintek-0r200058-mini-itx-tower-case-0r200058,1,5
//cdna.pcpartpicker.com/static/forever/images/product/73601479baad8839686fa3919ba866fe.256p.jpg,Deepcool MATREXX 50 ADD-RGB 4F,ATX Mid ,Black,Tempered Glass,74.9,https://es.pcpartpicker.com/product/YJfFf7/deepcool-matrexx-50-add-rgb-4f-atx-mid-tower-case-dp-atx-matrexx50-ar-4f-ne,16,3.8
//cdna.pcpartpicker.com/static/forever/images/product/4f2558d6d584e938b34a22366b33b27a.256p.jpg,Antec NX410,ATX Mid ,White,Tempered Glass,75.03,https://es.pcpartpicker.com/product/YxgFf7/antec-nx410-atx-mid-tower-case-0-761345-81042-5,3,4
//cdna.pcpartpicker.com/static/forever/images/product/d74f8747e8735ff22322143b5bb55dcf.256p.jpg,Cooler Master MasterBox E300L,MicroATX Mini ,Black / Red,,75.12,https://es.pcpartpicker.com/product/RrPKHx/cooler-master-masterbox-e300l-microatx-mini-tower-case-mcb-e300l-kn5n-b00,1,1
//cdna.pcpartpicker.com/static/forever/images/product/234082e908429613e8f136add299adf6.256p.jpg,Fractal Design Define Nano S,Mini ITX Desktop,Black,Acrylic,76.48,https://es.pcpartpicker.com/product/VH2rxr/fractal-design-case-fdcadefnanosbkw,66,4.8
//cdna.pcpartpicker.com/static/forever/images/product/d9a2e3e15099e00c07a5c361ef321368.256p.jpg,In Win 503,ATX Mid ,Black / Red,Acrylic,76.78,https://es.pcpartpicker.com/product/dD2rxr/inwin-case-503black,3,4.7
//cdna.pcpartpicker.com/static/forever/images/product/a71b87c93a953bcd78a4d1f1fca14760.256p.jpg,Fractal Design Core 1000 USB 3.0,MicroATX Mid ,Black,,76.84,https://es.pcpartpicker.com/product/KPw323/fractal-design-case-fdcacore1000usb3bl,35,4
//cdna.pcpartpicker.com/static/forever/images/product/8f056bfc6d92a3be0c3f1687225658a4.256p.jpg,Thermaltake Versa H24,ATX Mid ,Black,,77,https://es.pcpartpicker.com/product/FzKhP6/thermaltake-case-ca1c100m1nn00,2,3.5
https://m.media-amazon.com/images/I/416KVptSVmL.jpg,MagniumGear Neo Mini V2,Mini ITX Desktop,Silver,Tempered Glass,77.15,https://es.pcpartpicker.com/product/CJwkcf/metallic-gear-neo-mini-v2-mini-itx-desktop-case-mg-ne210_sr02,5,3.6
https://images-na.ssl-images-amazon.com/images/I/51r4wbZeNXL.jpg,In Win GT1,ATX Mid ,White,Acrylic,77.2,https://es.pcpartpicker.com/product/7Y3RsY/inwin-case-gt1white,2,5
https://images-na.ssl-images-amazon.com/images/I/510dlOUd%2BgL.jpg,Thermaltake Versa H15,MicroATX Mid ,Black,,77.53,https://es.pcpartpicker.com/product/Yn7CmG/thermaltake-case-ca1d400s1nn00,42,3.8
//cdna.pcpartpicker.com/static/forever/images/product/b32fb28bca9fb6780a07e11767da9f38.256p.jpg,Deepcool MATREXX 40,MicroATX Mid ,Black,Tempered Glass,77.78,https://es.pcpartpicker.com/product/LqPQzy/deepcool-matrexx-40-microatx-mid-tower-case-dp-matx-matrexx40,6,4.5
//cdna.pcpartpicker.com/static/forever/images/product/94caadb776ce5398961fdfdcce8bc760.256p.jpg,Antec NX410,ATX Mid ,Black,Tempered Glass,77.81,https://es.pcpartpicker.com/product/ZMC48d/antec-nx410-atx-mid-tower-case-0-761345-81041-8,4,4.5
//cdna.pcpartpicker.com/static/forever/images/product/703514d7455bf7e71a47c04b7c0f80b5.256p.jpg,Deepcool E-Shield,ATX Mid ,Black,Tempered Glass,77.89,https://es.pcpartpicker.com/product/nkGxFT/deepcool-e-shield-atx-mid-tower-case-dp-atx-e-shield,4,4.8
https://images-eu.ssl-images-amazon.com/images/I/51x-%2B4VtzmL.jpg,Thermaltake Core G21 Tempered Glass Edition,ATX Mid ,Black,Tinted Tempered Glass,77.9,https://es.pcpartpicker.com/product/Q6YWGX/thermaltake-core-g21-tempered-glass-edition-atx-mid-tower-case-ca-1i4-00m1wn-00,11,4.4
https://m.media-amazon.com/images/I/41KQXXImCpL.jpg,Silverstone ML07B,HTPC,Black,,77.98,https://es.pcpartpicker.com/product/MtV48d/silverstone-case-ml07b,8,4.1
//cdna.pcpartpicker.com/static/forever/images/product/d5515cc352c490650ff658bd3608857f.256p.jpg,Cooler Master MasterBox Q300P,MicroATX Mini ,Black,Acrylic,78,https://es.pcpartpicker.com/product/rXRzK8/cooler-master-masterbox-q300p-microatx-mini-tower-case-mcb-q300p-kann-s02,2,4
//cdna.pcpartpicker.com/static/forever/images/product/2eebf2edfcb06c7b134f5cd00502797c.256p.jpg,KOLINK Citadel Mesh RGB,MicroATX Mini ,Black,Tempered Glass,78.48,https://es.pcpartpicker.com/product/LZcG3C/kolink-citadel-mesh-rgb-microatx-mini-tower-case-citadel-mesh-rgb,2,4.5
https://m.media-amazon.com/images/I/21yil9oSczS.jpg,SilentiumPC Ventum VT4V EVO TG ARGB,ATX Mid ,Black,Tempered Glass,79.54,https://es.pcpartpicker.com/product/zWstt6/silentiumpc-ventum-vt4v-evo-tg-argb-atx-mid-tower-case-spc293,2,5
//cdna.pcpartpicker.com/static/forever/images/product/2b3b2198883d0a6ba85c5e0455d02ff4.256p.jpg,Thermaltake V150,MicroATX Mid ,Black,Tempered Glass,79.65,https://es.pcpartpicker.com/product/qnPgXL/thermaltake-v150-microatx-mid-tower-case-ca-1r1-00s1wn-00,1,3
//cdna.pcpartpicker.com/static/forever/images/product/7684b8a795c4b1b92c0e4dcdc6483c7f.256p.jpg,Phanteks Eclipse P300,ATX Mid ,Black,Tinted Tempered Glass,79.67,https://es.pcpartpicker.com/product/FCs8TW/phanteks-eclipse-p300-tempered-glass-atx-mid-tower-case-ph-ec300ptgbk,68,4.4
https://m.media-amazon.com/images/I/41oXitNFHlL.jpg,Deepcool MATREXX 55 V3 ADD-RGB WH 3F,ATX Mid ,White / Black,Tempered Glass,79.9,https://es.pcpartpicker.com/product/Zzwkcf/deepcool-matrexx-55-v3-add-rgb-wh-3f-atx-mid-tower-case-dp-atx-matrexx55v3-ar-wh-3f,2,4.5
//cdna.pcpartpicker.com/static/forever/images/product/e6745a15121957d8b888861a1c619183.256p.jpg,Deepcool MATREXX 55 V3 ADD-RGB 3F,ATX Mid ,Black,Tempered Glass,79.9,https://es.pcpartpicker.com/product/BhNgXL/deepcool-matrexx-55-v3-add-rgb-3f-atx-mid-tower-case-dp-atx-matrexx55v3-ar-3f,7,4.1
//cdna.pcpartpicker.com/static/forever/images/product/57709fd32c80825278a1956146554862.256p.jpg,Zalman S2,ATX Mid ,Black,Acrylic,79.98,https://es.pcpartpicker.com/product/Bcprxr/zalman-s2-atx-mid-tower-case-s2,8,4.9
//cdna.pcpartpicker.com/static/forever/images/product/28975fd8d6eb35f62329b75a2e46fb46.256p.jpg,Silverstone FARA H1M PRO,MicroATX Mini ,Black,Tempered Glass,80.44,https://es.pcpartpicker.com/product/qs8bt6/silverstone-fara-h1m-pro-microatx-mini-tower-case-sst-fah1mb-pro,2,4.5
//cdna.pcpartpicker.com/static/forever/images/product/40e1cc71d73dfc6cd2aacba1ad3b761e.256p.jpg,Cougar Gemini M,MicroATX Mini ,Black,Tempered Glass,80.68,https://es.pcpartpicker.com/product/PMFKHx/cougar-gemini-m-microatx-mini-tower-case-385tmb00001,2,4
//cdna.pcpartpicker.com/static/forever/images/product/df624ac3305623032a004988f9cdbde3.256p.jpg,RAIJINTEK Metis Plus,Mini ITX ,Red,Acrylic,80.8,https://es.pcpartpicker.com/product/TXZ2FT/raijintek-0r200056-mini-itx-tower-case-0r200056,2,5
//cdna.pcpartpicker.com/static/forever/images/product/7001e56f178771705031c2d85da244cc.256p.jpg,RAIJINTEK Metis Plus,Mini ITX ,Silver,Acrylic,80.8,https://es.pcpartpicker.com/product/BNDzK8/raijintek-0r200057-mini-itx-tower-case-0r200057,4,4.5
//cdna.pcpartpicker.com/static/forever/images/product/0012496fc5426fd262e1665577e19ef5.256p.jpg,RAIJINTEK Metis Plus,Mini ITX ,Black,Acrylic,80.8,https://es.pcpartpicker.com/product/Zk7CmG/raijintek-metis-plus-black-mini-itx-tower-case-0r200055,2,4.5
//cdna.pcpartpicker.com/static/forever/images/product/0aae439084e28e23fa17894f6552e89b.256p.jpg,Fractal Design Focus G,ATX Mid ,Black / Red,Acrylic,80.8,https://es.pcpartpicker.com/product/Yzbkcf/fractal-design-focus-g-atx-mid-tower-case-fd-ca-focus-rd-w,8,4.1
//cdna.pcpartpicker.com/static/forever/images/product/4372a983a422c533968edccf911b45a4.256p.jpg,Azza Spectra,ATX Mid ,Black,Tempered Glass,80.8,https://es.pcpartpicker.com/product/ypXJ7P/azza-spectra-atx-mid-tower-case-csaz-280b,1,4
