img_src,name,chipset,memory_GB,core_clock_MHz,boost_clock_MHz,color,length_mm,price,link,rating_number, rating
//cdna.pcpartpicker.com/static/forever/images/product/db948b6b6020be210c118527887f8a91.256p.jpg,Gigabyte GV-N1030OC-2GI,GeForce GT 1030,2,1290,1544,Black / Orange,168,120,https://es.pcpartpicker.com/product/X78j4D/gigabyte-geforce-gt-1030-2gb-video-card-gv-n1030oc-2gi,8,4.4
//cdna.pcpartpicker.com/static/forever/images/product/56b51ca9509deaa5507ac8e7aed64abb.256p.jpg,XFX Speedster SWFT 105,Radeon RX 6400,4,1923,,Black,155,161,https://es.pcpartpicker.com/product/39ddnQ/xfx-radeon-rx-6400-4-gb-speedster-swft-105-video-card-rx-64xl4sfg2,1,4
https://m.media-amazon.com/images/I/41SfAzaem+L.jpg,Sapphire PULSE,Radeon RX 550 - 512,4,1100,1206,Black / Red,158,175.82,https://es.pcpartpicker.com/product/GLTrxr/sapphire-radeon-rx-550-4gb-pulse-video-card-11268-01-20g,5,4
//cdna.pcpartpicker.com/static/forever/images/product/991083ca634c15e08fd5b9c7c33f6230.256p.jpg,MSI GTX 1050 TI 4GT LP,GeForce GTX 1050 Ti,4,1290,1392,Black / White,182,182.15,https://es.pcpartpicker.com/product/Hnhj4D/msi-geforce-gtx-1050-ti-4gb-video-card-gtx-1050-ti-4gt-lp,4,5
//cdna.pcpartpicker.com/static/forever/images/product/94c8b0f21d77d7bfa2a9cb727857fcc6.256p.jpg,XFX XFX Speedster QICK 210 Radeon RX 6500 XT 4GB GDDR6 PCI Express 4.0 Video Card RX-65XT4DBDQ,Radeon RX 6500 XT,4,2310,2825,Black / Silver,232,191,https://es.pcpartpicker.com/product/ykstt6/xfx-radeon-rx-6500-xt-4-gb-speedster-qick-210-video-card-rx-65xt4dbdq,3,4.7
//cdna.pcpartpicker.com/static/forever/images/product/7b87f1151133cd104c83a41914b02457.256p.jpg,Asus Phoenix OC,GeForce GTX 1650 G5,4,1485,1710,Black,190,192.5,https://es.pcpartpicker.com/product/f8WfrH/asus-geforce-gtx-1650-4-gb-phoenix-oc-video-card-ph-gtx1650-o4g,7,4.9
//cdna.pcpartpicker.com/static/forever/images/product/0fda15afd0540cb65cb27b509d2427a5.256p.jpg,Sapphire PULSE Low Profile,Radeon RX 6400,4,1923,,Black / Red,170,193.51,https://es.pcpartpicker.com/product/qmZ9TW/sapphire-radeon-rx-6400-4-gb-pulse-low-profile-video-card-11315-01-20g,1,5
//cdna.pcpartpicker.com/static/forever/images/product/de7225d83465d909752ae5f50e9d3d36.256p.jpg,Asus CERBERUS,GeForce GTX 1050 Ti,4,1341,1480,Black / Red,203,197.49,https://es.pcpartpicker.com/product/3xCD4D/asus-geforce-gtx-1050-ti-4gb-cerberus-video-card-cerberus-gtx1050ti-o4g,1,4
//cdna.pcpartpicker.com/static/forever/images/product/cbee7f02649e2958e4bd5426208b4a2b.256p.jpg,Gigabyte OC Low Profile,GeForce GTX 1650 G5,4,1485,1695,Black,167,204.79,https://es.pcpartpicker.com/product/fpDkcf/gigabyte-geforce-gtx-1650-4-gb-oc-low-profile-video-card-gv-n1650oc-4gl,4,4
https://m.media-amazon.com/images/I/414goNzSLaL.jpg,Asus Phoenix,GeForce GTX 1050 Ti,4,1290,1392,Black / White,192,206.24,https://es.pcpartpicker.com/product/6hKhP6/asus-geforce-gtx-1050-ti-4gb-phoenix-video-card-ph-gtx1050ti-4g,16,4.6
